driver_name,nationality,year,grid,position,points,laps,milliseconds,fastestLapSpeed,statusId,finished,podium
Felipe Massa,Brazilian,2010,9.0,6.0,8.0,66,5809868.0,196.006,1,1,0
Adrian Sutil,German,2010,11.0,7.0,6.0,66,5817042.0,195.212,1,1,0
Robert Kubica,Polish,2010,7.0,8.0,4.0,66,5817778.0,196.077,1,1,0
Rubens Barrichello,Brazilian,2010,17.0,9.0,2.0,65,,195.478,11,0,0
Jaime Alguersuari,Spanish,2010,15.0,10.0,1.0,65,,195.645,11,0,0
Vitaly Petrov,Russian,2010,19.0,11.0,0.0,65,,196.068,11,0,0
Kamui Kobayashi,Japanese,2010,10.0,12.0,0.0,65,,194.672,11,0,0
Nico Rosberg,German,2010,8.0,13.0,0.0,65,,196.103,11,0,0
Lewis Hamilton,British,2010,3.0,14.0,0.0,64,,198.655,29,0,0
Vitantonio Liuzzi,Italian,2010,16.0,15.0,0.0,64,,195.032,5,0,0
Nico Hülkenberg,German,2010,13.0,16.0,0.0,64,,192.924,12,0,0
Jarno Trulli,Italian,2010,18.0,17.0,0.0,63,,187.106,13,0,0
Timo Glock,German,2010,22.0,18.0,0.0,63,,186.664,13,0,0
Lucas di Grassi,Brazilian,2010,23.0,19.0,0.0,62,,186.398,14,0,0
Mark Webber,Australian,2010,1.0,1.0,25.0,78,6613355.0,159.643,1,1,1
Sebastian Vettel,German,2010,3.0,2.0,18.0,78,6613803.0,159.91,1,1,1
Robert Kubica,Polish,2010,2.0,3.0,15.0,78,6615030.0,159.568,1,1,1
Felipe Massa,Brazilian,2010,4.0,4.0,12.0,78,6616021.0,159.251,1,1,0
Lewis Hamilton,British,2010,5.0,5.0,10.0,78,6617718.0,157.755,1,1,0
Fernando Alonso,Spanish,2010,24.0,6.0,8.0,78,6619696.0,158.408,1,1,0
Nico Rosberg,German,2010,6.0,7.0,6.0,78,6620006.0,158.295,1,1,0
Adrian Sutil,German,2010,12.0,8.0,4.0,78,6620325.0,158.287,1,1,0
Vitantonio Liuzzi,Italian,2010,10.0,9.0,2.0,78,6620660.0,157.915,1,1,0
Sébastien Buemi,Swiss,2010,13.0,10.0,1.0,78,6621554.0,157.19,1,1,0
Jaime Alguersuari,Spanish,2010,17.0,11.0,0.0,78,6622490.0,157.421,1,1,0
Michael Schumacher,German,2010,7.0,12.0,0.0,78,6619067.0,159.089,1,1,0
Vitaly Petrov,Russian,2010,14.0,13.0,0.0,73,,157.371,23,0,0
Karun Chandhok,Indian,2010,23.0,14.0,0.0,70,,151.144,4,0,0
Jarno Trulli,Italian,2010,19.0,15.0,0.0,70,,151.55,4,0,0
Lewis Hamilton,British,2010,2.0,1.0,25.0,58,5327620.0,213.342,1,1,1
Jenson Button,British,2010,4.0,2.0,18.0,58,5330265.0,213.769,1,1,1
